FedEx Ground Standard List Rates,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
84,$25.11 ,$27.97 ,$30.05 ,$34.62 ,$40.03 ,$46.60 ,$49.92 ,$176.00 ,$176.00 ,$17.54 ,$176.00 ,$66.45 ,$94.75 ,$76.27 ,$86.91 ,$24.04 ,$76.27 ,$86.91 
85,$25.83 ,$28.65 ,$30.68 ,$35.27 ,$40.63 ,$47.11 ,$50.48 ,$178.02 ,$178.02 ,$18.11 ,$178.02 ,$67.05 ,$96.95 ,$76.90 ,$87.55 ,$24.61 ,$76.90 ,$87.55 
86,$26.63 ,$29.29 ,$31.34 ,$35.93 ,$41.21 ,$47.61 ,$51.04 ,$179.91 ,$179.91 ,$18.66 ,$179.91 ,$67.05 ,$96.95 ,$77.60 ,$88.15 ,$25.17 ,$77.60 ,$88.15 
87,$27.40 ,$29.98 ,$32.09 ,$36.57 ,$41.74 ,$48.11 ,$51.59 ,$181.93 ,$181.93 ,$19.22 ,$181.93 ,$67.85 ,$99.00 ,$78.29 ,$88.80 ,$25.72 ,$78.29 ,$88.80 
88,$28.26 ,$30.67 ,$32.74 ,$37.23 ,$42.29 ,$48.61 ,$52.17 ,$183.93 ,$183.93 ,$19.78 ,$183.93 ,$67.85 ,$99.00 ,$79.00 ,$89.39 ,$26.29 ,$79.00 ,$89.39 
89,$29.11 ,$31.35 ,$33.37 ,$37.87 ,$42.82 ,$49.12 ,$52.74 ,$185.85 ,$185.85 ,$20.34 ,$185.85 ,$68.65 ,$101.15 ,$79.65 ,$90.03 ,$26.86 ,$79.65 ,$90.03 
90,$29.97 ,$32.03 ,$34.02 ,$38.39 ,$43.36 ,$49.59 ,$53.29 ,$187.74 ,$187.74 ,$20.89 ,$187.74 ,$68.65 ,$101.15 ,$80.28 ,$90.65 ,$27.43 ,$80.28 ,$90.65 
91,$30.70 ,$32.74 ,$34.79 ,$39.05 ,$43.90 ,$50.09 ,$53.86 ,$189.75 ,$189.75 ,$21.47 ,$189.75 ,$69.25 ,$103.35 ,$80.91 ,$91.29 ,$27.99 ,$80.91 ,$91.29 
92,$31.45 ,$33.42 ,$35.43 ,$39.58 ,$44.44 ,$50.64 ,$54.45 ,$191.55 ,$191.55 ,$22.02 ,$191.55 ,$69.25 ,$103.35 ,$81.54 ,$91.91 ,$28.56 ,$81.54 ,$91.91 
93,$32.19 ,$34.10 ,$36.19 ,$40.22 ,$44.97 ,$51.17 ,$55.00 ,$193.43 ,$193.43 ,$22.58 ,$193.43 ,$70.10 ,$105.40 ,$82.19 ,$92.54 ,$29.11 ,$82.19 ,$92.54 
94,$32.95 ,$34.78 ,$36.82 ,$40.74 ,$45.51 ,$51.72 ,$55.58 ,$195.25 ,$195.25 ,$23.14 ,$195.25 ,$70.10 ,$105.40 ,$82.82 ,$93.16 ,$29.68 ,$82.82 ,$93.16 
95,$33.72 ,$35.47 ,$37.57 ,$41.39 ,$46.03 ,$52.26 ,$56.15 ,$197.13 ,$197.13 ,$23.70 ,$197.13 ,$70.85 ,$107.55 ,$83.51 ,$93.77 ,$30.25 ,$83.51 ,$93.77 
