FedEx Ground Retail Counter Rates ,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 14,Zone 17,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
89,$38.29 ,$41.23 ,$43.88 ,$49.79 ,$56.29 ,$64.55 ,$69.31 ,$244.00 ,$25.84 ,$244.00 ,$101.17 ,$114.35 ,$34.11 ,$101.17 ,$114.35 
90,$39.41 ,$42.13 ,$44.73 ,$50.47 ,$57.00 ,$65.18 ,$70.04 ,$246.48 ,$26.55 ,$246.48 ,$101.98 ,$115.15 ,$34.84 ,$101.98 ,$115.15 
91,$40.37 ,$43.05 ,$45.74 ,$51.34 ,$57.70 ,$65.83 ,$70.78 ,$249.13 ,$27.26 ,$249.13 ,$102.77 ,$115.96 ,$35.56 ,$102.77 ,$115.96 
92,$41.35 ,$43.94 ,$46.58 ,$52.03 ,$58.41 ,$66.55 ,$71.55 ,$251.49 ,$27.97 ,$251.49 ,$103.58 ,$116.75 ,$36.28 ,$103.58 ,$116.75 
93,$42.33 ,$44.84 ,$47.58 ,$52.87 ,$59.10 ,$67.25 ,$72.27 ,$253.96 ,$28.68 ,$253.96 ,$104.40 ,$117.55 ,$36.98 ,$104.40 ,$117.55 
94,$43.33 ,$45.73 ,$48.41 ,$53.56 ,$59.81 ,$67.98 ,$73.03 ,$256.35 ,$29.39 ,$256.35 ,$105.21 ,$118.33 ,$37.71 ,$105.21 ,$118.33 
95,$44.33 ,$46.64 ,$49.39 ,$54.40 ,$60.50 ,$68.69 ,$73.78 ,$258.81 ,$30.11 ,$258.81 ,$106.08 ,$119.12 ,$38.42 ,$106.08 ,$119.12 
96,$45.33 ,$47.53 ,$50.39 ,$55.23 ,$61.24 ,$69.38 ,$74.52 ,$261.19 ,$30.81 ,$261.19 ,$106.99 ,$119.92 ,$39.15 ,$106.99 ,$119.92 
97,$46.37 ,$48.43 ,$51.24 ,$56.10 ,$61.95 ,$70.10 ,$75.30 ,$263.68 ,$31.52 ,$263.68 ,$107.89 ,$120.72 ,$39.86 ,$107.89 ,$120.72 
98,$47.41 ,$49.21 ,$52.22 ,$56.77 ,$62.66 ,$70.81 ,$76.02 ,$266.03 ,$32.23 ,$266.03 ,$108.78 ,$121.53 ,$40.58 ,$108.78 ,$121.53 
99,$48.46 ,$49.99 ,$53.22 ,$57.48 ,$63.36 ,$71.52 ,$76.79 ,$268.52 ,$32.93 ,$268.52 ,$109.59 ,$122.33 ,$41.29 ,$109.59 ,$122.33 
100,$49.36 ,$50.81 ,$54.20 ,$58.33 ,$64.06 ,$72.23 ,$77.53 ,$271.03 ,$33.65 ,$271.03 ,$110.38 ,$123.10 ,$42.02 ,$110.38 ,$123.10 
101,$50.22 ,$51.61 ,$55.18 ,$59.17 ,$64.77 ,$72.94 ,$78.26 ,$273.51 ,$34.36 ,$273.51 ,$111.20 ,$123.92 ,$42.72 ,$111.20 ,$123.92 
102,$50.73 ,$52.41 ,$55.84 ,$59.95 ,$65.47 ,$73.65 ,$79.01 ,$276.03 ,$35.06 ,$276.03 ,$112.00 ,$124.69 ,$43.45 ,$112.00 ,$124.69 
103,$51.59 ,$53.23 ,$56.55 ,$60.60 ,$66.15 ,$74.38 ,$79.72 ,$278.51 ,$35.78 ,$278.51 ,$112.88 ,$125.51 ,$44.17 ,$112.88 ,$125.51 
104,$52.42 ,$54.04 ,$57.24 ,$61.24 ,$66.82 ,$75.07 ,$80.47 ,$281.16 ,$36.50 ,$281.16 ,$113.79 ,$126.27 ,$44.88 ,$113.79 ,$126.27 
105,$53.30 ,$54.87 ,$57.92 ,$61.90 ,$67.50 ,$75.79 ,$81.16 ,$283.65 ,$37.19 ,$283.65 ,$114.68 ,$127.10 ,$45.59 ,$114.68 ,$127.10 
106,$54.17 ,$55.70 ,$58.62 ,$62.54 ,$68.17 ,$76.48 ,$81.92 ,$286.27 ,$37.92 ,$286.27 ,$115.51 ,$127.87 ,$46.32 ,$115.51 ,$127.87 
107,$55.07 ,$56.56 ,$59.31 ,$63.22 ,$68.86 ,$77.19 ,$82.66 ,$288.92 ,$38.62 ,$288.92 ,$116.30 ,$128.67 ,$47.03 ,$116.30 ,$128.67 
108,$55.95 ,$57.38 ,$60.01 ,$63.86 ,$69.54 ,$77.90 ,$83.38 ,$291.55 ,$39.34 ,$291.55 ,$117.11 ,$129.45 ,$47.75 ,$117.11 ,$129.45 
109,$56.83 ,$58.22 ,$60.69 ,$64.52 ,$70.21 ,$78.60 ,$84.11 ,$294.05 ,$40.04 ,$294.05 ,$117.88 ,$130.24 ,$48.47 ,$117.88 ,$130.24 
110,$57.75 ,$59.08 ,$61.42 ,$65.18 ,$70.92 ,$79.33 ,$84.85 ,$296.53 ,$40.76 ,$296.53 ,$118.83 ,$131.03 ,$49.19 ,$118.83 ,$131.03 
111,$58.38 ,$59.77 ,$62.12 ,$65.83 ,$71.59 ,$80.02 ,$85.55 ,$299.18 ,$41.45 ,$299.18 ,$119.71 ,$131.82 ,$49.90 ,$119.71 ,$131.82 
112,$58.99 ,$60.43 ,$62.82 ,$66.50 ,$72.27 ,$80.74 ,$86.26 ,$301.82 ,$42.16 ,$301.82 ,$120.60 ,$132.69 ,$50.62 ,$120.60 ,$132.69 
113,$59.63 ,$61.14 ,$63.54 ,$67.16 ,$72.95 ,$81.44 ,$86.98 ,$304.46 ,$42.89 ,$304.46 ,$121.39 ,$133.60 ,$51.33 ,$121.39 ,$133.60 
