FedEx Express U.S. Package Retail Counter Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
147,$207.27 ,$304.29 ,$523.32 ,$555.66 ,$589.47 ,$629.16 ,$652.68 ,$668.85 ,-,$429.24 
148,$208.68 ,$306.36 ,$526.88 ,$559.44 ,$593.48 ,$633.44 ,$657.12 ,$673.40 ,-,$432.16 
149,$210.09 ,$308.43 ,$530.44 ,$563.22 ,$597.49 ,$637.72 ,$661.56 ,$677.95 ,-,$435.08 
150,$211.50 ,$310.50 ,$534.00 ,$567.00 ,$601.50 ,$642.00 ,$666.00 ,$682.50 ,-,$438.00 


Multiweight/Per-Pound Counter Rates (multiply by total shipment weight)										

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
100-499,$1.41 ,$2.07 ,$3.56 ,$3.78 ,$4.01 ,$4.28 ,$4.44 ,$4.55 ,-,$2.92 
500-999,$1.39 ,$2.05 ,$3.54 ,$3.76 ,$3.99 ,$4.26 ,$4.42 ,$4.53 ,-,$2.90 
1000-1999,$1.37 ,$2.03 ,$3.52 ,$3.74 ,$3.97 ,$4.24 ,$4.40 ,$4.51 ,-,$2.88 
2000+,$1.35 ,$2.01 ,$3.50 ,$3.72 ,$3.95 ,$4.22 ,$4.38 ,$4.49 ,-,$2.86 


See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
